Actual SF Location,Derived SF Location,RR Area
1 Sector,1,1
10 Sector,10,10
100 Sector,100,100
102 Sector,102,102
103 Sector,103,103
104 Sector,104,104
105 Sector,105,105
106 Sector,NA,NA
107 Sector,107,107
108 Sector,108,108
11 Sector,11,11
110 Sector,110,110
112 Sector,112,112
113 Sector,NA,NA
116 Sector,116,116
117 Sector,117,117
118 Sector,NA,NA
119 Sector,119,119
12 Sector,12,12
120 Sector,120,120
121 Sector,121,121
122 Sector,122,122
125 Sector,125,125
126 Sector,126,126
127 Sector,127,127
128 Sector,128,128
129 Sector,129,129
130 Sector,130,130
131 Sector,131,131
132 Sector,132,132
133 Sector,133,133
134 Sector,134,134
135 Sector,135,135
136 Sector,NA,NA
137 Sector,137,137
138 Sector,138,138
139 Sector,NA,NA
14 Sector,14,14
140 Sector,140,140
140a Sector,NA,NA
141 Sector,NA,NA
142 Sector,142,142
143 Sector,143,143
143A Sector,NA,NA
144 Sector,144,144
145 Sector,NA,NA
14A Sector,NA,NA
15 Sector,15,15
150 Sector,150,150
151 Sector,151,151
152 Sector,NA,NA
153 Sector,153,153
154 Sector,154,154
155 Sector,NA,NA
15A Sector,15A,15A
"15A, 44, 50 & 93 SECTOR",NA,NA
16 b Sector,16B,16B
16 Sector,16,16
163 Sector,NA,NA
164 Sector,NA,NA
168 Sector,NA,NA
16A Sector,16A,#N/A
16B Sector,16B,16B
17 Sector,17,17
17A Sector,NA,NA
18 Sector,18,18
19 Sector,19,19
19A Sector,NA,NA
2 Sector,2,2
20  Sector,20,20
20 Sector,20,20
21 Sector,21,21
22 Sector,22,22
22D Sector,NA,NA
23 Sector,23,23
24 Sector,24,24
25 Sector,25,25
25A Sector, 25A, 25A
26 Sector,26,26
26A Sector,NA,NA
27 Sector,27,27
28 Sector,28,28
29     In Army flat,NA,NA
29 Sector,29,29
3 Sector,3,3
30 Sector,30,30
31 Sector,31,31
32 Sector,32,32
33 Sector,33,33
34 Sector,34,34
35 Sector,35,35
36 Sector,36,36
37 Sector,37,37
38 Sector,38,38
38A Sector,38A,38A
39 Sector,39,39
3c YEA,NA,NA
4 Sector,4,4
40 Sector,40,40
41 Sector,41,41
42 Sector,42,42
43 Sector,43,43
44 Sector,44,44
45 Sector,45,45
46 Sector,46,46
47 Sector,47,47
48 Sector,48,48
49 Sector,49,49
5 Sector,5,5
50 Sector,50,50
51 Sector,51,51
52 Sector,52,52
53 Sector,53,53
54 Sector,54,54
55 Sector,55,55
56 Sector,56,56
57 Sector,57,57
58 Sector,58,58
59 Sector,59,59
6 Sector,6,6
60 Sector,60,60
61 Sector,61,61
62 Sector,62,62
63 Sector,63,63
63A Sector,NA,NA
64 Sector,64,64
65 Sector,65,65
66 Sector,66,66
67 Sector,67,67
68 Sector,68,68
7 Sector,7,7
70 Sector,70,70
71 Sector,71,71
72 Sector,72,72
73 Sector,73,73
74 Sector,74,74
75 Sector,75,75
76  Sector,76,76
76 Sector,76,76
77 Sector,77,77
78  Sector,78,78
78 Sector,78,78
79 Sector,79,79
8 Sector,8,8
80 Sector,80,80
81 Sector,81,81
82 Sector,82,82
83 Sector,83,83
84 Sector,84,84
85 Sector,85,85
86 Sector,86,86
87 Sector,87,87
88 Sector,88,88
89 Sector,89,89
9 Sector,9,9
90 Sector,90,90
91 Sector,91,91
92 Sector,92,92
93 Sector,93,93
93A Sector,NA,NA
93b  Sector,93B,93B
93B Sector,93B,93B
94 Sector,94,94
96 Sector,96,96
98 Sector,98,98
99 Sector,99,99
Adjoining Metro Route,NA,NA
AGRICALTURE LAND,NA,NA
Alok Vihar-I,NA,NA
Alok Vihar-II,NA,NA
AMRAPALI,NA,NA
"AMRAPALI,Sector 119",NA,NA
ANSAL FORTUNE ARCADE,NA,NA
ANY,NA,NA
Army Officer Flat,NA,NA
ATS Village Forest,NA,NA
barola,NA,NA
Blank,NA,NA
CENTER STAGE MALL,NA,NA
chipyana village,NA,NA
CORENTHUM,NA,NA
ECO TECH -3,NA,NA
Eco Village 2,NA,NA
Eldeco,NA,NA
Eldeco Silvercity,NA,NA
Eldeco Utopia,NA,NA
