Actual SF City,Derived SF City,RR City
Noida,Noida,Noida
South Delhi,Delhi,Delhi
Greater Noida,Greater Noida,Greater Noida
Central Delhi,NA,NA
Gurgaon,Gurgaon,Gurgaon
West Delhi,NA,NA
East Delhi,NA,NA
Yamuna Expressway,Yamuna Expressway,Yamuna Expressway
Jind,NA,NA
North Delhi,NA,NA
Ghaziabad,NA,NA
Lucknow,NA,NA
Faridabad,Faridabad,Faridabad
Chattarpur,NA,NA
Other,NA,NA
Kanpur,Kanpur,#N/A
Bangalore,Bangalore,Bangalore
Dehradun,Dehradun,Dehradun
Sikandrabad,NA,NA
Ahmedabad,NA,NA
Agra,Agra,#N/A
Vadodara,NA,NA
Meerut,NA,NA
Chandigarh,NA,NA
NCR,NA,NA
Nanital,NA,NA
Panipat,NA,NA
Gorakhpur,NA,NA
Bareilly,NA,NA
Mussoorie,NA,NA
Allahabad,NA,NA
Amritsar,NA,NA
UPSIDC,NA,NA
Sahibabad,NA,NA
DELHI,NA,NA
HIMACHAL PRADESH,NA,NA
HARYANA,NA,NA
UTTARANCHAL,NA,NA
SURAJPUR,NA,NA
LUKNOW,NA,NA
JAIPUR,NA,NA
New Mumbai,NA,NA
Mumbai,NA,NA
Aligarh,NA,NA
Pushpanjali,NA,NA
Pune,NA,NA
Ranikhet,NA,NA
Calcutta,NA,NA
Ludhiana,NA,NA
