Field,Transaction Type, Is Mandatory
Name,A,Y
Property_SubType__c,A,true
Property_Type__c,A,true
RealtyForce__Availability_Status__c,A,true
RealtyForce__Budget_Price__c,A,false
RealtyForce__Builder__c,A,false
RealtyForce__Building_Name__c,A,false
RealtyForce__Carpet_Area__c,A,false
RealtyForce__Category_Type__c,A,false
RealtyForce__City__c,A,true
RealtyForce__Covered_Area__c,A,false
RealtyForce__Current_Rent_P_SFT__c,A,false
RealtyForce__Facing__c,A,false
RealtyForce__Floor__c,A,false
RealtyForce__Lease_Date__c,A,false
RealtyForce__Lease_From__c,A,false
RealtyForce__Lease_Period__c,A,false
RealtyForce__Lease_Period_pl__c,A,false
RealtyForce__Lease_Status__c,A,false
RealtyForce__Lease_To__c,A,false
RealtyForce__Location__c,A,true
RealtyForce__Lock_In_Period_pl__c,A,false
RealtyForce__Lock_in_Period__c,A,false
RealtyForce__Max_Covered_Area__c,A,false
RealtyForce__Min_Covered_Area__c,A,false
RealtyForce__Monthly_Rent__c,A,false
RealtyForce__No_Of_Bedrooms__c,A,false
RealtyForce__No_Of_Floors__c,A,false
RealtyForce__Picklist__c,A,false
RealtyForce__Plot_Area__c,A,false
RealtyForce__Power_Backup__c,A,false
RealtyForce__Project_Area__c,A,false
RealtyForce__Project__c,A,false
RealtyForce__Road_Preference__c,A,false
RealtyForce__State__c,A,true
RealtyForce__Status__c,A,true
RealtyForce__Ticket_Status__c,A,false
RealtyForce__Transaction_Type__c,A,false
Share_To_Buniyad_Website__c,A,false
